# omega_z*kolmogorov_time,p_x
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,nan
-1.687500000000000000e+00,nan
-1.562500000000000000e+00,nan
-1.437500000000000000e+00,nan
-1.312500000000000000e+00,nan
-1.187500000000000000e+00,nan
-1.062500000000000000e+00,nan
-9.375000000000000000e-01,nan
-8.125000000000000000e-01,nan
-6.875000000000000000e-01,nan
-5.625000000000000000e-01,nan
-4.375000000000000000e-01,-1.201021848388587721e+00
-3.125000000000000000e-01,-8.068965872266398165e-01
-1.875000000000000000e-01,-4.385311977290839436e-01
-6.250000000000000000e-02,-1.456436357816778271e-01
6.250000000000000000e-02,1.456436357816778271e-01
1.875000000000000000e-01,4.385311977290839436e-01
3.125000000000000000e-01,8.068965872266398165e-01
4.375000000000000000e-01,1.201021848388587721e+00
5.625000000000000000e-01,nan
6.875000000000000000e-01,nan
8.125000000000000000e-01,nan
9.375000000000000000e-01,nan
1.062500000000000000e+00,nan
1.187500000000000000e+00,nan
1.312500000000000000e+00,nan
1.437500000000000000e+00,nan
1.562500000000000000e+00,nan
1.687500000000000000e+00,nan
1.812500000000000000e+00,nan
1.937500000000000000e+00,nan
