# omega_z*kolmogorov_time,p_y
-1.937500000000000000e+00,-4.732094499999998094e-01
-1.812500000000000000e+00,-4.174583562753035326e-01
-1.687500000000000000e+00,-4.769473024282562257e-01
-1.562500000000000000e+00,-4.320919093406591083e-01
-1.437500000000000000e+00,-4.274996815834764541e-01
-1.312500000000000000e+00,-4.185494397790064380e-01
-1.187500000000000000e+00,-3.926904642201832774e-01
-1.062500000000000000e+00,-3.853908556851318723e-01
-9.375000000000000000e-01,-3.860752587252155310e-01
-8.125000000000000000e-01,-3.498380400416620239e-01
-6.875000000000000000e-01,-3.173396354007789744e-01
-5.625000000000000000e-01,-2.702246512061742822e-01
-4.375000000000000000e-01,-2.147910413917213657e-01
-3.125000000000000000e-01,-1.699708018931432862e-01
-1.875000000000000000e-01,-1.148071743805005596e-01
-6.250000000000000000e-02,-3.664278504345352266e-02
6.250000000000000000e-02,3.077352413603971770e-02
1.875000000000000000e-01,9.264139907636896598e-02
3.125000000000000000e-01,1.507273941113266846e-01
4.375000000000000000e-01,2.156993509098421857e-01
5.625000000000000000e-01,2.703745001959497740e-01
6.875000000000000000e-01,3.136240731830835515e-01
8.125000000000000000e-01,3.553554851088873701e-01
9.375000000000000000e-01,3.770213489081567504e-01
1.062500000000000000e+00,3.914789119734973788e-01
1.187500000000000000e+00,4.159848642098263327e-01
1.312500000000000000e+00,4.137986470891295010e-01
1.437500000000000000e+00,4.425695683563741212e-01
1.562500000000000000e+00,4.359480794621028998e-01
1.687500000000000000e+00,4.536724538745383617e-01
1.812500000000000000e+00,3.971014922600616948e-01
1.937500000000000000e+00,3.369425208333334809e-01
